client_id,SUM(l.amount),SUM(payments),saldo_konta
9340,590820,9847.00,580973.00
10997,566640,9444.00,557196.00
981,538500,8975.00,529525.00
3546,504000,8400.00,495600.00
8506,495180,8253.00,486927.00
8392,475680,9910.00,465770.00
414,468060,7801.00,460259.00
3038,466608,9721.00,456887.00
5760,465072,9689.00,455383.00
4434,444864,9268.00,435596.00
3517,437460,7291.00,430169.00
3072,428784,8933.00,419851.00
12662,421008,8771.00,412237.00
13955,419880,6998.00,412882.00
12943,417600,6960.00,410640.00
10350,417060,6951.00,410109.00
2720,415800,6930.00,408870.00
5050,405780,6763.00,399017.00
5606,402000,6700.00,395300.00
6257,399120,6652.00,392468.00
7521,398640,6644.00,391996.00
2259,396120,6602.00,389518.00
13750,392460,6541.00,385919.00
7959,390660,6511.00,384149.00
9457,390096,8127.00,381969.00
3629,390000,8125.00,381875.00
1662,389136,8107.00,381029.00
2190,385584,8033.00,377551.00
1311,385104,8023.00,377081.00
3519,380160,6336.00,373824.00
11637,374760,6246.00,368514.00
9641,372120,6202.00,365918.00
389,369000,6150.00,362850.00
6544,368880,6148.00,362732.00
3103,360000,7500.00,352500.00
5977,359760,5996.00,353764.00
127,352704,7348.00,345356.00
6610,349392,7279.00,342113.00
12643,348120,5802.00,342318.00
2719,347952,7249.00,340703.00
11701,341280,5688.00,335592.00
13246,339168,7066.00,332102.00
3326,335280,6985.00,328295.00
4710,334620,5577.00,329043.00
403,331584,6908.00,324676.00
12144,331560,5526.00,326034.00
5245,327660,5461.00,322199.00
6178,323472,6739.00,316733.00
11130,321936,6707.00,315229.00
7325,321360,5356.00,316004.00
5376,321240,5354.00,315886.00
3767,321180,5353.00,315827.00
9427,320592,6679.00,313913.00
6122,317520,5292.00,312228.00
13912,317460,5291.00,312169.00
2759,314688,6556.00,308132.00
13451,314520,5242.00,309278.00
12378,311232,6484.00,304748.00
10273,309660,5161.00,304499.00
9366,309600,6450.00,303150.00
1102,309552,6449.00,303103.00
12547,305424,6363.00,299061.00
6417,300660,5011.00,295649.00
12133,300600,5010.00,295590.00
5517,300204,8339.00,291865.00
8064,294384,6133.00,288251.00
2952,293160,4886.00,288274.00
2430,290820,4847.00,285973.00
5978,289920,6040.00,283880.00
8502,288720,6015.00,282705.00
9316,288468,8013.00,280455.00
10555,288360,4806.00,283554.00
6803,285600,4760.00,280840.00
11379,285240,4754.00,280486.00
1133,284280,4738.00,279542.00
13924,280440,4674.00,275766.00
11874,279072,5814.00,273258.00
6359,276300,4605.00,271695.00
3984,276084,7669.00,268415.00
13539,274740,4579.00,270161.00
3542,272520,4542.00,267978.00
11286,272220,4537.00,267683.00
4417,271584,5658.00,265926.00
2494,271260,4521.00,266739.00
7678,270384,5633.00,264751.00
13089,269964,7499.00,262465.00
3471,268320,4472.00,263848.00
12890,267600,5575.00,262025.00
10382,266220,4437.00,261783.00
10475,265320,7370.00,257950.00
603,262980,4383.00,258597.00
13113,260028,7223.00,252805.00
12695,259740,4329.00,255411.00
6033,258444,7179.00,251265.00
3793,253560,4226.00,249334.00
1282,253200,4220.00,248980.00
1286,253200,4220.00,248980.00
13051,249792,5204.00,244588.00
2392,249312,5194.00,244118.00
2136,248148,6893.00,241255.00
7434,247920,5165.00,242755.00
10282,247728,5161.00,242567.00
5134,244560,4076.00,240484.00
11851,244368,5091.00,239277.00
10662,240900,4015.00,236885.00
6408,240528,5011.00,235517.00
2195,239460,3991.00,235469.00
12586,239160,3986.00,235174.00
10075,238716,6631.00,232085.00
8568,234336,4882.00,229454.00
