account_id,loan_count,loan_sum,avg_loan
7542,1,590820,590820.0000
8926,1,566640,566640.0000
817,1,538500,538500.0000
2936,1,504000,504000.0000
7049,1,495180,495180.0000
6950,1,475680,475680.0000
339,1,468060,468060.0000
2516,1,466608,466608.0000
4774,1,465072,465072.0000
3679,1,444864,444864.0000
2910,1,437460,437460.0000
2545,1,428784,428784.0000
10297,1,421008,421008.0000
11349,1,419880,419880.0000
10520,1,417600,417600.0000
8377,1,417060,417060.0000
2246,1,415800,415800.0000
4190,1,405780,405780.0000
4650,1,402000,402000.0000
5181,1,399120,399120.0000
6226,1,398640,398640.0000
1862,1,396120,396120.0000
11186,1,392460,392460.0000
6592,1,390660,390660.0000
7637,1,390096,390096.0000
3005,1,390000,390000.0000
1374,1,389136,389136.0000
1808,1,385584,385584.0000
1093,1,385104,385104.0000
2912,1,380160,380160.0000
9455,1,374760,374760.0000
7795,1,372120,372120.0000
319,1,369000,369000.0000
5422,1,368880,368880.0000
2572,1,360000,360000.0000
4948,1,359760,359760.0000
105,1,352704,352704.0000
5477,1,349392,349392.0000
10280,1,348120,348120.0000
2245,1,347952,347952.0000
9504,1,341280,341280.0000
10774,1,339168,339168.0000
2754,1,335280,335280.0000
3906,1,334620,334620.0000
330,1,331584,331584.0000
9869,1,331560,331560.0000
4354,1,327660,327660.0000
5120,1,323472,323472.0000
9037,1,321936,321936.0000
6062,1,321360,321360.0000
4456,1,321240,321240.0000
3115,1,321180,321180.0000
7614,1,320592,320592.0000
5072,1,317520,317520.0000
11317,1,317460,317460.0000
2279,1,314688,314688.0000
10942,1,314520,314520.0000
10065,1,311232,311232.0000
8320,1,309660,309660.0000
7562,1,309600,309600.0000
915,1,309552,309552.0000
10202,1,305424,305424.0000
5313,1,300660,300660.0000
9859,1,300600,300600.0000
4576,1,300204,300204.0000
6678,1,294384,294384.0000
2445,1,293160,293160.0000
2000,1,290820,290820.0000
4949,1,289920,289920.0000
7045,1,288720,288720.0000
7523,1,288468,288468.0000
8558,1,288360,288360.0000
5632,1,285600,285600.0000
9241,1,285240,285240.0000
940,1,284280,284280.0000
11328,1,280440,280440.0000
9646,1,279072,279072.0000
5263,1,276300,276300.0000
3293,1,276084,276084.0000
11013,1,274740,274740.0000
2933,1,272520,272520.0000
9167,1,272220,272220.0000
3664,1,271584,271584.0000
2055,1,271260,271260.0000
6358,1,270384,270384.0000
10644,1,269964,269964.0000
2872,1,268320,268320.0000
10478,1,267600,267600.0000
8405,1,266220,266220.0000
8489,1,265320,265320.0000
501,1,262980,262980.0000
10663,1,260028,260028.0000
10320,1,259740,259740.0000
4994,1,258444,258444.0000
3137,1,253560,253560.0000
1068,1,253200,253200.0000
1071,1,253200,253200.0000
10613,1,249792,249792.0000
1967,1,249312,249312.0000
1762,1,248148,248148.0000
6157,1,247920,247920.0000
8327,1,247728,247728.0000
4260,1,244560,244560.0000
9627,1,244368,244368.0000
8645,1,240900,240900.0000
5305,1,240528,240528.0000
1811,1,239460,239460.0000
10233,1,239160,239160.0000
8158,1,238716,238716.0000
7099,1,234336,234336.0000
10063,1,233424,233424.0000
5724,1,232560,232560.0000
5742,1,232560,232560.0000
10093,1,231696,231696.0000
2699,1,231168,231168.0000
378,1,230400,230400.0000
2262,1,230220,230220.0000
9510,1,228276,228276.0000
8982,1,227880,227880.0000
9491,1,225504,225504.0000
5628,1,225420,225420.0000
8260,1,224604,224604.0000
5591,1,221880,221880.0000
4413,1,221280,221280.0000
8411,1,220620,220620.0000
7713,1,220440,220440.0000
8094,1,220428,220428.0000
4784,1,219456,219456.0000
10022,1,218064,218064.0000
11042,1,217152,217152.0000
9179,1,215040,215040.0000
2080,1,214596,214596.0000
4852,1,213300,213300.0000
11096,1,213300,213300.0000
4144,1,212976,212976.0000
6555,1,212400,212400.0000
