account_id,loan_count,loan_sum,avg_loan,rank_by_sum,rank_by_count
7542,1,590820,590820.0000,1,1
8926,1,566640,566640.0000,2,1
817,1,538500,538500.0000,3,1
2936,1,504000,504000.0000,4,1
7049,1,495180,495180.0000,5,1
6950,1,475680,475680.0000,6,1
339,1,468060,468060.0000,7,1
2516,1,466608,466608.0000,8,1
4774,1,465072,465072.0000,9,1
3679,1,444864,444864.0000,10,1
2910,1,437460,437460.0000,11,1
2545,1,428784,428784.0000,12,1
10297,1,421008,421008.0000,13,1
11349,1,419880,419880.0000,14,1
10520,1,417600,417600.0000,15,1
8377,1,417060,417060.0000,16,1
2246,1,415800,415800.0000,17,1
4190,1,405780,405780.0000,18,1
4650,1,402000,402000.0000,19,1
5181,1,399120,399120.0000,20,1
6226,1,398640,398640.0000,21,1
1862,1,396120,396120.0000,22,1
11186,1,392460,392460.0000,23,1
6592,1,390660,390660.0000,24,1
7637,1,390096,390096.0000,25,1
3005,1,390000,390000.0000,26,1
1374,1,389136,389136.0000,27,1
1808,1,385584,385584.0000,28,1
1093,1,385104,385104.0000,29,1
2912,1,380160,380160.0000,30,1
9455,1,374760,374760.0000,31,1
7795,1,372120,372120.0000,32,1
319,1,369000,369000.0000,33,1
5422,1,368880,368880.0000,34,1
2572,1,360000,360000.0000,35,1
4948,1,359760,359760.0000,36,1
105,1,352704,352704.0000,37,1
5477,1,349392,349392.0000,38,1
10280,1,348120,348120.0000,39,1
2245,1,347952,347952.0000,40,1
9504,1,341280,341280.0000,41,1
10774,1,339168,339168.0000,42,1
2754,1,335280,335280.0000,43,1
3906,1,334620,334620.0000,44,1
330,1,331584,331584.0000,45,1
9869,1,331560,331560.0000,46,1
4354,1,327660,327660.0000,47,1
5120,1,323472,323472.0000,48,1
9037,1,321936,321936.0000,49,1
6062,1,321360,321360.0000,50,1
4456,1,321240,321240.0000,51,1
3115,1,321180,321180.0000,52,1
7614,1,320592,320592.0000,53,1
5072,1,317520,317520.0000,54,1
11317,1,317460,317460.0000,55,1
2279,1,314688,314688.0000,56,1
10942,1,314520,314520.0000,57,1
10065,1,311232,311232.0000,58,1
8320,1,309660,309660.0000,59,1
7562,1,309600,309600.0000,60,1
915,1,309552,309552.0000,61,1
10202,1,305424,305424.0000,62,1
5313,1,300660,300660.0000,63,1
9859,1,300600,300600.0000,64,1
4576,1,300204,300204.0000,65,1
6678,1,294384,294384.0000,66,1
2445,1,293160,293160.0000,67,1
2000,1,290820,290820.0000,68,1
4949,1,289920,289920.0000,69,1
7045,1,288720,288720.0000,70,1
7523,1,288468,288468.0000,71,1
8558,1,288360,288360.0000,72,1
5632,1,285600,285600.0000,73,1
9241,1,285240,285240.0000,74,1
940,1,284280,284280.0000,75,1
11328,1,280440,280440.0000,76,1
9646,1,279072,279072.0000,77,1
5263,1,276300,276300.0000,78,1
3293,1,276084,276084.0000,79,1
11013,1,274740,274740.0000,80,1
2933,1,272520,272520.0000,81,1
9167,1,272220,272220.0000,82,1
3664,1,271584,271584.0000,83,1
2055,1,271260,271260.0000,84,1
6358,1,270384,270384.0000,85,1
10644,1,269964,269964.0000,86,1
2872,1,268320,268320.0000,87,1
10478,1,267600,267600.0000,88,1
8405,1,266220,266220.0000,89,1
8489,1,265320,265320.0000,90,1
501,1,262980,262980.0000,91,1
10663,1,260028,260028.0000,92,1
10320,1,259740,259740.0000,93,1
4994,1,258444,258444.0000,94,1
3137,1,253560,253560.0000,95,1
1068,1,253200,253200.0000,96,1
1071,1,253200,253200.0000,96,1
10613,1,249792,249792.0000,98,1
1967,1,249312,249312.0000,99,1
1762,1,248148,248148.0000,100,1
6157,1,247920,247920.0000,101,1
8327,1,247728,247728.0000,102,1
4260,1,244560,244560.0000,103,1
9627,1,244368,244368.0000,104,1
8645,1,240900,240900.0000,105,1
5305,1,240528,240528.0000,106,1
1811,1,239460,239460.0000,107,1
10233,1,239160,239160.0000,108,1
8158,1,238716,238716.0000,109,1
7099,1,234336,234336.0000,110,1
10063,1,233424,233424.0000,111,1
5724,1,232560,232560.0000,112,1
